11:17:48.565466 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:17:48.565477 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
11:18:28.473383 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:18:28.473394 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
11:18:43.496678 ARP, Request who-has 10.10.10.10 tell 10.10.10.1, length 28
11:18:43.496903 ARP, Reply 10.10.10.10 is-at 08:00:27:f0:50:8f, length 46
11:19:13.773607 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:19:13.773616 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
11:19:58.816893 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:19:58.816902 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
11:20:44.290756 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:20:44.290764 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
11:21:09.310650 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:21:09.310661 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
11:21:54.704345 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:21:54.704355 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
11:22:35.177059 ARP, Request who-has 10.10.10.10 tell 10.10.10.1, length 28
11:22:35.177268 ARP, Reply 10.10.10.10 is-at 08:00:27:f0:50:8f, length 46
11:22:36.172565 ARP, Request who-has 10.10.10.1 tell 10.10.10.10, length 46
11:22:36.172578 ARP, Reply 10.10.10.1 is-at 08:00:27:b2:29:2a, length 28
